t,theta,length,start_angle
0.0,1.594,0.09,1.594
0.03337,1.54,0.09,1.594
0.06673,1.353,0.09,1.594
0.1,1.063,0.09,1.594
0.133,0.685,0.09,1.594
0.167,0.214,0.09,1.594
0.2,-0.276,0.09,1.594
0.234,-0.697,0.09,1.594
0.267,-1.035,0.09,1.594
0.3,-1.319,0.09,1.594
0.334,-1.427,0.09,1.594
0.367,-1.461,0.09,1.594
0.4,-1.393,0.09,1.594
0.434,-1.21,0.09,1.594
0.467,-0.922,0.09,1.594
0.5,-0.549,0.09,1.594
0.534,-0.155,0.09,1.594
0.567,0.31,0.09,1.594
0.601,0.694,0.09,1.594
0.634,1.024,0.09,1.594
0.667,1.231,0.09,1.594
0.701,1.369,0.09,1.594
0.734,1.43,0.09,1.594
0.767,1.326,0.09,1.594
0.801,1.123,0.09,1.594
0.834,0.848,0.09,1.594
0.868,0.47,0.09,1.594
0.901,0.06759,0.09,1.594
0.934,-0.408,0.09,1.594
0.968,-0.813,0.09,1.594
1.001,-1.13,0.09,1.594
1.034,-1.337,0.09,1.594
1.068,-1.434,0.09,1.594
1.101,-1.42,0.09,1.594
1.134,-1.29,0.09,1.594
1.168,-1.088,0.09,1.594
1.201,-0.777,0.09,1.594
1.235,-0.348,0.09,1.594
1.268,0.05187,0.09,1.594
1.301,0.425,0.09,1.594
1.335,0.814,0.09,1.594
1.368,1.127,0.09,1.594
1.401,1.352,0.09,1.594
1.435,1.421,0.09,1.594
1.468,1.396,0.09,1.594
1.502,1.277,0.09,1.594
1.535,1.043,0.09,1.594
1.568,0.735,0.09,1.594
1.602,0.296,0.09,1.594
1.635,-0.169,0.09,1.594
1.668,-0.537,0.09,1.594
1.702,-0.869,0.09,1.594
1.735,-1.164,0.09,1.594
1.768,-1.281,0.09,1.594
1.802,-1.352,0.09,1.594
1.835,-1.281,0.09,1.594
1.869,-1.144,0.09,1.594
1.902,-0.877,0.09,1.594
1.935,-0.524,0.09,1.594
1.969,-0.132,0.09,1.594
2.002,0.292,0.09,1.594
2.035,0.643,0.09,1.594
2.069,0.939,0.09,1.594
2.102,1.189,0.09,1.594
2.135,1.294,0.09,1.594
2.169,1.292,0.09,1.594
2.202,1.214,0.09,1.594
2.236,1.02,0.09,1.594
2.269,0.76,0.09,1.594
2.302,0.435,0.09,1.594
2.336,-0.04675,0.09,1.594
2.369,-0.451,0.09,1.594
2.402,-0.777,0.09,1.594
2.436,-1.09,0.09,1.594
2.469,-1.283,0.09,1.594
2.503,-1.368,0.09,1.594
2.536,-1.308,0.09,1.594
2.569,-1.169,0.09,1.594
2.603,-0.926,0.09,1.594
2.636,-0.614,0.09,1.594
2.669,-0.206,0.09,1.594
2.703,0.19,0.09,1.594
2.736,0.563,0.09,1.594
2.769,0.885,0.09,1.594
2.803,1.1,0.09,1.594
2.836,1.223,0.09,1.594
2.87,1.256,0.09,1.594
2.903,1.205,0.09,1.594
2.936,1.046,0.09,1.594
2.97,0.77,0.09,1.594
3.003,0.457,0.09,1.594
3.036,0.06456,0.09,1.594
3.07,-0.394,0.09,1.594
3.103,-0.772,0.09,1.594
3.136,-1.049,0.09,1.594
3.17,-1.211,0.09,1.594
3.203,-1.279,0.09,1.594
3.237,-1.263,0.09,1.594
3.27,-1.118,0.09,1.594
3.303,-0.909,0.09,1.594
3.337,-0.595,0.09,1.594
3.37,-0.227,0.09,1.594
3.403,0.153,0.09,1.594
3.437,0.507,0.09,1.594
3.47,0.868,0.09,1.594
3.504,1.06,0.09,1.594
3.537,1.22,0.09,1.594
3.57,1.233,0.09,1.594
3.604,1.193,0.09,1.594
3.637,1.013,0.09,1.594
3.67,0.72,0.09,1.594
3.704,0.381,0.09,1.594
3.737,0.009475,0.09,1.594
3.77,-0.385,0.09,1.594
3.804,-0.73,0.09,1.594
3.837,-1.02,0.09,1.594
3.871,-1.188,0.09,1.594
3.904,-1.244,0.09,1.594
3.937,-1.21,0.09,1.594
3.971,-1.095,0.09,1.594
4.004,-0.832,0.09,1.594
4.037,-0.529,0.09,1.594
4.071,-0.184,0.09,1.594
4.104,0.218,0.09,1.594
4.137,0.572,0.09,1.594
4.171,0.881,0.09,1.594
4.204,1.114,0.09,1.594
4.238,1.264,0.09,1.594
4.271,1.264,0.09,1.594
4.304,1.161,0.09,1.594
4.338,1.003,0.09,1.594
4.371,0.729,0.09,1.594
4.404,0.383,0.09,1.594
4.438,-0.03966,0.09,1.594
4.471,-0.412,0.09,1.594
4.505,-0.772,0.09,1.594
4.538,-1.04,0.09,1.594
4.571,-1.178,0.09,1.594
4.605,-1.245,0.09,1.594
4.638,-1.181,0.09,1.594
4.671,-1.033,0.09,1.594
4.705,-0.762,0.09,1.594
4.738,-0.43,0.09,1.594
4.771,-0.102,0.09,1.594
4.805,0.279,0.09,1.594
4.838,0.609,0.09,1.594
4.872,0.901,0.09,1.594
4.905,1.097,0.09,1.594
4.938,1.2,0.09,1.594
4.972,1.2,0.09,1.594
5.005,1.109,0.09,1.594
5.038,0.934,0.09,1.594
5.072,0.634,0.09,1.594
5.105,0.337,0.09,1.594
