t,x,y,theta,,,
0.000,-2.52E-03,0.109,1.594,,,
3.337E-02,3.335E-03,0.108,1.540,,,
6.673E-02,2.306E-02,0.104,1.353,,,
0.100,5.14E-02,9.238E-02,1.063,,,
0.133,8.231E-02,6.727E-02,0.685,,,
0.167,0.101,2.191E-02,0.214,,,
0.200,9.878E-02,-2.801E-02,-0.276,,,
0.234,7.934E-02,-6.643E-02,-0.697,,,
0.267,4.947E-02,-8.324E-02,-1.035,,,
0.300,2.351E-02,-9.134E-02,-1.319,,,
0.334,1.445E-02,-9.991E-02,-1.427,,,
0.367,1.082E-02,-9.834E-02,-1.461,,,
0.400,1.747E-02,-9.706E-02,-1.393,,,
0.434,3.659E-02,-9.685E-02,-1.210,,,
0.467,6.342E-02,-8.363E-02,-0.922,,,
0.500,8.85E-02,-5.419E-02,-0.549,,,
0.534,0.105,-1.642E-02,-0.155,,,
0.567,0.100,3.222E-02,0.310,,,
0.601,8.085E-02,6.731E-02,0.694,,,
0.634,5.349E-02,8.792E-02,1.024,,,
0.667,3.465E-02,9.799E-02,1.231,,,
0.701,2.078E-02,0.101,1.369,,,
0.734,1.411E-02,9.93E-02,1.430,,,
0.767,2.435E-02,9.755E-02,1.326,,,
0.801,4.794E-02,9.983E-02,1.123,,,
0.834,6.94E-02,7.865E-02,0.848,,,
0.868,9.278E-02,4.713E-02,0.470,,,
0.901,0.105,7.101E-03,6.759E-02,,,
0.934,9.692E-02,-4.193E-02,-0.408,,,
0.968,7.387E-02,-7.804E-02,-0.813,,,
1.001,4.404E-02,-9.338E-02,-1.130,,,
1.034,2.333E-02,-9.795E-02,-1.337,,,
1.068,1.372E-02,-9.989E-02,-1.434,,,
1.101,1.479E-02,-9.748E-02,-1.420,,,
1.134,2.797E-02,-9.712E-02,-1.290,,,
1.168,4.58E-02,-8.737E-02,-1.088,,,
1.201,7.329E-02,-7.204E-02,-0.777,,,
1.235,9.772E-02,-3.54E-02,-0.348,,,
1.268,0.104,5.398E-03,5.187E-02,,,
1.301,9.33E-02,4.228E-02,0.425,,,
1.335,7.23E-02,7.652E-02,0.814,,,
1.368,4.578E-02,9.628E-02,1.127,,,
1.401,2.333E-02,0.105,1.352,,,
1.435,1.606E-02,0.107,1.421,,,
1.468,1.816E-02,0.103,1.396,,,
1.502,2.973E-02,9.818E-02,1.277,,,
1.535,5.217E-02,8.951E-02,1.043,,,
1.568,7.723E-02,6.979E-02,0.735,,,
1.602,9.955E-02,3.04E-02,0.296,,,
1.635,0.100,-1.718E-02,-0.169,,,
1.668,8.99E-02,-5.347E-02,-0.537,,,
1.702,6.44E-02,-7.618E-02,-0.869,,,
1.735,3.98E-02,-9.232E-02,-1.164,,,
1.768,2.805E-02,-9.419E-02,-1.281,,,
1.802,2.141E-02,-9.62E-02,-1.352,,,
1.835,2.805E-02,-9.419E-02,-1.281,,,
1.869,4.2E-02,-9.238E-02,-1.144,,,
1.902,6.578E-02,-7.914E-02,-0.877,,,
1.935,8.994E-02,-5.201E-02,-0.524,,,
1.969,0.103,-1.359E-02,-0.132,,,
2.002,9.88E-02,2.969E-02,0.292,,,
2.035,8.511E-02,6.372E-02,0.643,,,
2.069,6.153E-02,8.413E-02,0.939,,,
2.102,3.844E-02,9.575E-02,1.189,,,
2.135,2.912E-02,0.103,1.294,,,
2.169,2.829E-02,9.896E-02,1.292,,,
2.202,3.629E-02,9.727E-02,1.214,,,
2.236,5.357E-02,8.728E-02,1.020,,,
2.269,7.583E-02,7.203E-02,0.760,,,
2.302,9.407E-02,4.372E-02,0.435,,,
2.336,0.103,-4.817E-03,-4.675E-02,,,
2.369,9.234E-02,-4.476E-02,-0.451,,,
2.402,7.4E-02,-7.279E-02,-0.777,,,
2.436,4.718E-02,-9.033E-02,-1.090,,,
2.469,2.937E-02,-9.935E-02,-1.283,,,
2.503,2.057E-02,-9.984E-02,-1.368,,,
2.536,2.713E-02,-0.101,-1.308,,,
2.569,4.115E-02,-9.675E-02,-1.169,,,
2.603,6.273E-02,-8.345E-02,-0.926,,,
2.636,8.605E-02,-6.068E-02,-0.614,,,
2.669,9.959E-02,-2.082E-02,-0.206,,,
2.703,0.101,1.939E-02,0.190,,,
2.736,8.706E-02,5.489E-02,0.563,,,
