t,x,y,theta
0.000,0.209,5.863E-02,0.274
3.337E-02,0.210,5.535E-02,0.257
6.673E-02,0.214,4.878E-02,0.225
0.100,0.218,3.894E-02,0.177
0.133,0.221,2.829E-02,0.127
0.167,0.221,1.604E-02,7.232E-02
0.200,0.224,-3.123E-04,-1.397E-03
0.234,0.224,-1.256E-02,-5.595E-02
0.267,0.224,-2.97E-02,-0.132
0.300,0.221,-4.028E-02,-0.180
0.334,0.221,-5.006E-02,-0.223
0.367,0.217,-5.9E-02,-0.265
0.400,0.216,-6.142E-02,-0.278
0.434,0.212,-6.301E-02,-0.289
0.467,0.215,-5.815E-02,-0.264
0.500,0.214,-5.243E-02,-0.240
0.534,0.213,-4.752E-02,-0.219
0.567,0.217,-3.451E-02,-0.157
0.601,0.219,-1.985E-02,-9.025E-02
0.634,0.219,-7.606E-03,-3.465E-02
0.667,0.216,7.123E-03,3.291E-02
0.701,0.215,1.938E-02,8.996E-02
0.734,0.213,3.246E-02,0.151
0.767,0.211,4.147E-02,0.194
0.801,0.210,4.883E-02,0.229
0.834,0.208,5.538E-02,0.260
0.868,0.210,5.453E-02,0.254
0.901,0.211,5.371E-02,0.249
0.934,0.214,4.795E-02,0.220
0.968,0.216,4.222E-02,0.193
1.001,0.218,3.323E-02,0.152
1.034,0.221,2.012E-02,9.061E-02
1.068,0.221,7.878E-03,3.559E-02
1.101,0.224,-8.473E-03,-3.789E-02
1.134,0.222,-1.988E-02,-8.94E-02
1.168,0.221,-3.455E-02,-0.155
1.201,0.219,-4.351E-02,-0.196
1.235,0.216,-5.245E-02,-0.239
1.268,0.213,-5.486E-02,-0.252
1.301,0.212,-6.057E-02,-0.278
1.335,0.212,-5.73E-02,-0.264
1.368,0.212,-5.077E-02,-0.235
1.401,0.214,-4.671E-02,-0.215
1.435,0.214,-3.692E-02,-0.171
1.468,0.215,-2.306E-02,-0.107
1.502,0.215,-1.163E-02,-5.415E-02
1.535,0.214,6.246E-04,2.921E-03
1.568,0.213,1.287E-02,6.032E-02
1.602,0.213,2.594E-02,0.121
1.635,0.208,3.253E-02,0.155
1.668,0.205,4.317E-02,0.207
1.702,0.207,5.049E-02,0.239
1.735,0.207,5.62E-02,0.265
1.768,0.209,5.537E-02,0.259
1.802,0.209,5.455E-02,0.256
1.835,0.213,4.634E-02,0.214
1.869,0.213,3.981E-02,0.185
1.902,0.216,3.08E-02,0.142
1.935,0.216,1.61E-02,7.423E-02
1.969,0.221,-1.098E-03,-4.965E-03
2.002,0.221,-1.171E-02,-5.291E-02
2.035,0.221,-2.639E-02,-0.119
2.069,0.217,-3.532E-02,-0.162
2.102,0.217,-4.43E-02,-0.202
2.135,0.214,-5.406E-02,-0.247
2.169,0.212,-5.403E-02,-0.250
2.202,0.212,-5.566E-02,-0.257
2.236,0.212,-5.322E-02,-0.246
2.269,0.212,-4.751E-02,-0.220
2.302,0.213,-3.853E-02,-0.179
2.336,0.214,-2.795E-02,-0.130
2.369,0.214,-1.489E-02,-6.932E-02
2.402,0.215,-1.834E-03,-8.543E-03
2.436,0.213,1.124E-02,5.27E-02
2.469,0.212,2.514E-02,0.118
2.503,0.212,3.411E-02,0.160
2.536,0.210,4.311E-02,0.202
2.569,0.206,5.213E-02,0.248
2.603,0.210,5.291E-02,0.247
2.636,0.209,5.537E-02,0.259
2.669,0.209,5.455E-02,0.256
2.703,0.212,4.798E-02,0.223
2.736,0.214,4.143E-02,0.191
2.769,0.214,3.327E-02,0.154
2.803,0.217,2.343E-02,0.107
2.836,0.219,8.724E-03,3.985E-02
2.870,0.219,-6.79E-03,-3.093E-02
2.903,0.219,-2.148E-02,-9.764E-02
2.936,0.219,-3.209E-02,-0.145
2.970,0.215,-4.02E-02,-0.185
3.003,0.214,-4.916E-02,-0.226
3.036,0.212,-5.403E-02,-0.250
3.070,0.210,-5.564E-02,-0.259
3.103,0.212,-5.321E-02,-0.246
3.136,0.210,-4.911E-02,-0.230
3.170,0.212,-4.26E-02,-0.199
3.203,0.213,-3.119E-02,-0.146
3.237,0.214,-2.223E-02,-0.103
3.270,0.215,-9.178E-03,-4.275E-02
3.303,0.216,6.317E-03,2.93E-02
3.337,0.212,1.941E-02,9.113E-02
3.370,0.211,3.004E-02,0.141
3.403,0.210,3.984E-02,0.187
3.437,0.209,5.047E-02,0.237
3.470,0.206,5.459E-02,0.260
3.504,0.206,5.54E-02,0.262
3.537,0.207,5.702E-02,0.269
3.570,0.209,5.292E-02,0.248
3.604,0.211,4.473E-02,0.209
3.637,0.214,3.735E-02,0.173
3.670,0.217,2.671E-02,0.123
3.704,0.218,1.363E-02,6.242E-02
3.737,0.219,-2.519E-04,-1.151E-03
3.770,0.220,-1.414E-02,-6.415E-02
3.804,0.220,-2.72E-02,-0.123
3.837,0.217,-3.94E-02,-0.180
3.871,0.216,-4.755E-02,-0.217
3.904,0.213,-4.997E-02,-0.230
3.937,0.211,-5.32E-02,-0.247
3.971,0.211,-5.402E-02,-0.251
4.004,0.212,-5.24E-02,-0.243
