t,theta
0.00E+00,0.264218065
3.34E-02,0.260985017
6.67E-02,0.264991595
1.00E-01,0.250968398
1.33E-01,0.219860173
1.67E-01,0.191269411
2.00E-01,0.126410323
2.34E-01,0.065304286
2.67E-01,-0.00067874
3.00E-01,-0.060087986
3.34E-01,-0.125043172
3.67E-01,-0.183452081
4.00E-01,-0.221911284
4.34E-01,-0.259487525
4.67E-01,-0.288131519
5.01E-01,-0.282218867
5.34E-01,-0.266412293
5.67E-01,-0.246916267
6.01E-01,-0.21251862
6.34E-01,-0.15693786
6.67E-01,-0.093505823
7.01E-01,-0.035218109
7.34E-01,0.029047148
7.67E-01,0.087871795
8.01E-01,0.14809932
8.34E-01,0.194880148
8.68E-01,0.229018614
9.01E-01,0.24684436
9.34E-01,0.255342019
9.68E-01,0.241018276
1.00E+00,0.22550579
1.03E+00,0.186198706
1.07E+00,0.132517579
1.10E+00,0.077490228
1.13E+00,0.022103321
1.17E+00,-0.048980938
1.20E+00,-0.108989616
1.23E+00,-0.162549285
1.27E+00,-0.216956469
1.30E+00,-0.257428036
1.33E+00,-0.280968514
1.37E+00,-0.2943229
1.40E+00,-0.285247886
1.43E+00,-0.267841369
1.47E+00,-0.232258643
1.50E+00,-0.1907692
1.53E+00,-0.129203915
1.57E+00,-0.067801992
1.60E+00,-0.003058094
1.63E+00,0.053399884
1.67E+00,0.119266184
1.70E+00,0.174051459
1.74E+00,0.208005897
1.77E+00,0.231902072
1.80E+00,0.252010185
1.84E+00,0.254559762
1.87E+00,0.236107792
1.90E+00,0.19998192
1.94E+00,0.163932947
1.97E+00,0.110388393
2.00E+00,0.048362445
2.04E+00,-0.009115488
2.07E+00,-0.078070829
2.10E+00,-0.118073444
2.14E+00,-0.173156349
2.17E+00,-0.219825616
2.20E+00,-0.245427676
2.24E+00,-0.264391027
2.27E+00,-0.261572844
2.30E+00,-0.250260842
2.34E+00,-0.222776444
2.37E+00,-0.17973453
2.40E+00,-0.132795052
2.44E+00,-0.076789059
2.47E+00,-0.020743692
2.50E+00,0.050637779
2.54E+00,0.109681395
2.57E+00,0.154912457
2.60E+00,0.200890713
2.64E+00,0.231902072
2.67E+00,0.260130155
2.70E+00,0.269071651
2.74E+00,0.243250552
2.77E+00,0.23255884
2.80E+00,0.19998192
2.84E+00,0.139539894
2.87E+00,0.098845064
2.90E+00,0.025763172
2.94E+00,-0.026423866
2.97E+00,-0.084195207
3.00E+00,-0.147961457
3.04E+00,-0.200097112
3.07E+00,-0.235693626
3.10E+00,-0.246089156
3.14E+00,-0.258750821
3.17E+00,-0.254474415
3.20E+00,-0.236676595
3.24E+00,-0.191792661
3.27E+00,-0.156102178
3.30E+00,-0.09688012
3.34E+00,-0.04428101
3.37E+00,0.017741673
3.40E+00,0.071120177
3.44E+00,0.140735427
3.47E+00,0.187446093
3.50E+00,0.231902072
3.54E+00,0.255657923
3.57E+00,0.264218065
3.60E+00,0.256919971
3.64E+00,0.245521225
3.67E+00,0.211142253
3.70E+00,0.173618024
3.74E+00,0.125995982
3.77E+00,0.055309013
3.80E+00,-0.009042031
3.84E+00,-0.066598902
3.87E+00,-0.127566935
3.90E+00,-0.17974954
3.94E+00,-0.218754332
3.97E+00,-0.258770543
4.00E+00,-0.268561841
4.04E+00,-0.265830924
4.07E+00,-0.249452929
4.10E+00,-0.215382007
4.14E+00,-0.180698999
4.17E+00,-0.139361678
4.20E+00,-0.077336133
4.24E+00,-0.008909288
4.27E+00,0.047297009
4.30E+00,0.104517768
4.34E+00,0.159898531
4.37E+00,0.195076323
4.40E+00,0.22973577
4.44E+00,0.239922384
4.47E+00,0.254865195
4.50E+00,0.235453817
4.54E+00,0.213344859
4.57E+00,0.176491359
4.60E+00,0.128889895
4.64E+00,0.072000905
4.67E+00,0.011191037
4.70E+00,-0.055113466
4.74E+00,-0.11033907
4.77E+00,-0.165943724
4.80E+00,-0.206843158
4.84E+00,-0.238887229
4.87E+00,-0.265108881
4.90E+00,-0.27087318
4.94E+00,-0.262997905
4.97E+00,-0.236034663
5.01E+00,-0.198631559
5.04E+00,-0.150684624
5.07E+00,-0.106690686
5.11E+00,-0.041724941
5.14E+00,0.020807972
5.17E+00,0.077564963
5.21E+00,0.125566648
5.24E+00,0.176976561
5.27E+00,0.213822207
5.31E+00,0.231902072
5.34E+00,0.243418453
