t,x,y,theta
0,0.162,0.157,0.77
3.34E-02,0.162,0.158,0.774
6.67E-02,0.164,0.162,0.779
0.1,0.163,0.163,0.786
0.133,0.168,0.159,0.758
0.167,0.181,0.143,0.67
0.2,0.198,0.122,0.552
0.234,0.214,9.24E-02,0.408
0.267,0.226,5.78E-02,0.25
0.3,0.231,1.70E-02,7.33E-02
0.334,0.229,-2.31E-02,-0.101
0.367,0.215,-5.93E-02,-0.269
0.4,0.199,-9.01E-02,-0.424
0.434,0.183,-0.112,-0.547
0.467,0.168,-0.126,-0.645
0.501,0.159,-0.133,-0.696
0.534,0.154,-0.133,-0.713
0.567,0.156,-0.126,-0.68
0.601,0.163,-0.118,-0.625
0.634,0.17,-0.103,-0.545
0.667,0.182,-8.63E-02,-0.443
0.701,0.196,-6.01E-02,-0.298
0.734,0.206,-2.93E-02,-0.141
0.767,0.212,2.29E-03,1.08E-02
0.801,0.213,3.85E-02,0.179
0.834,0.207,7.31E-02,0.34
0.868,0.199,0.102,0.472
0.901,0.187,0.128,0.6
0.934,0.178,0.143,0.677
0.968,0.169,0.157,0.749
1.001,0.173,0.163,0.757
1.034,0.178,0.16,0.732
1.068,0.187,0.149,0.675
1.101,0.202,0.134,0.585
1.134,0.215,0.11,0.473
1.168,0.228,7.55E-02,0.32
1.201,0.235,3.39E-02,0.143
1.235,0.229,-6.15E-03,-2.68E-02
1.268,0.216,-4.39E-02,-0.2
1.301,0.203,-7.32E-02,-0.347
1.335,0.186,-9.48E-02,-0.472
1.368,0.171,-0.109,-0.566
1.401,0.159,-0.116,-0.631
1.435,0.154,-0.119,-0.656
1.468,0.151,-0.116,-0.654
1.502,0.156,-0.111,-0.62
1.535,0.163,-0.103,-0.563
1.568,0.175,-9.02E-02,-0.476
1.602,0.19,-6.78E-02,-0.343
1.635,0.202,-4.09E-02,-0.199
1.668,0.212,-1.08E-02,-5.10E-02
1.702,0.218,2.00E-02,9.13E-02
1.735,0.22,5.24E-02,0.234
1.768,0.215,8.78E-02,0.387
1.802,0.206,0.116,0.514
1.835,0.199,0.141,0.616
1.869,0.192,0.155,0.681
1.902,0.184,0.168,0.738
1.935,0.186,0.163,0.72
1.969,0.194,0.155,0.675
2.002,0.204,0.139,0.6
2.035,0.213,0.116,0.5
2.069,0.221,8.39E-02,0.362
2.102,0.228,4.70E-02,0.203
2.135,0.232,7.71E-03,3.33E-02
2.169,0.222,-2.62E-02,-0.118
2.202,0.207,-5.47E-02,-0.258
2.236,0.186,-8.17E-02,-0.415
2.269,0.175,-9.33E-02,-0.49
2.302,0.162,-0.104,-0.572
2.336,0.156,-0.107,-0.601
2.369,0.156,-0.109,-0.611
2.402,0.16,-0.106,-0.583
2.436,0.169,-0.101,-0.537
2.469,0.183,-8.71E-02,-0.445
2.503,0.197,-7.09E-02,-0.345
2.536,0.21,-4.47E-02,-0.21
2.569,0.222,-1.46E-02,-6.59E-02
2.603,0.229,1.70E-02,7.40E-02
2.636,0.231,5.24E-02,0.223
2.669,0.224,8.47E-02,0.362
2.703,0.211,0.114,0.494
2.736,0.2,0.135,0.593
2.769,0.192,0.149,0.658
2.803,0.188,0.155,0.69
2.836,0.188,0.152,0.681
2.87,0.192,0.145,0.646
2.903,0.199,0.129,0.576
2.936,0.206,0.105,0.473
2.97,0.214,7.78E-02,0.349
3.003,0.219,4.62E-02,0.208
3.036,0.218,9.23E-03,4.23E-02
3.07,0.212,-2.08E-02,-9.77E-02
3.103,0.199,-4.78E-02,-0.235
3.136,0.189,-7.25E-02,-0.367
3.17,0.177,-9.02E-02,-0.471
3.203,0.169,-0.103,-0.546
3.237,0.165,-0.109,-0.583
3.27,0.163,-0.113,-0.609
3.303,0.165,-0.112,-0.596
3.337,0.173,-0.106,-0.547
3.37,0.185,-9.33E-02,-0.467
3.403,0.196,-7.86E-02,-0.381
3.437,0.211,-5.32E-02,-0.247
3.47,0.221,-2.70E-02,-0.121
3.504,0.227,7.70E-03,3.39E-02
3.537,0.23,3.93E-02,0.169
3.57,0.226,7.39E-02,0.316
3.604,0.217,0.1,0.433
3.637,0.208,0.124,0.537
3.67,0.197,0.141,0.621
3.704,0.189,0.151,0.674
3.737,0.187,0.145,0.657
3.77,0.191,0.142,0.637
3.804,0.199,0.128,0.571
3.837,0.206,0.109,0.488
3.871,0.214,8.24E-02,0.368
3.904,0.218,5.24E-02,0.235
3.937,0.222,1.77E-02,7.97E-02
3.971,0.217,-1.39E-02,-6.39E-02
4.004,0.208,-4.39E-02,-0.208
4.037,0.196,-6.86E-02,-0.336
4.071,0.187,-8.71E-02,-0.436
4.104,0.179,-0.101,-0.514
4.137,0.171,-0.112,-0.579
4.171,0.169,-0.114,-0.595
4.204,0.171,-0.114,-0.588
4.238,0.178,-0.107,-0.542
4.271,0.188,-9.71E-02,-0.477
4.304,0.201,-7.78E-02,-0.369
4.338,0.213,-5.55E-02,-0.254
4.371,0.222,-2.77E-02,-0.124
4.404,0.229,7.77E-04,3.40E-03
4.438,0.229,3.54E-02,0.153
4.471,0.228,6.70E-02,0.286
4.505,0.215,9.47E-02,0.414
4.538,0.205,0.119,0.524
4.571,0.195,0.131,0.591
4.605,0.193,0.141,0.631
4.638,0.187,0.144,0.655
