t,x,y,theta,,,
0.000,0.207,0.229,0.834,,,
3.337E-02,0.210,0.225,0.822,,,
6.673E-02,0.224,0.217,0.771,,,
0.100,0.240,0.199,0.692,,,
0.133,0.259,0.173,0.590,,,
0.167,0.278,0.140,0.468,,,
0.200,0.298,9.738E-02,0.316,,,
0.234,0.309,5.686E-02,0.182,,,
0.267,0.312,1.477E-03,4.741E-03,,,
0.300,0.306,-5.06E-02,-0.164,,,
0.334,0.291,-9.381E-02,-0.312,,,
0.367,0.270,-0.131,-0.452,,,
0.400,0.251,-0.162,-0.573,,,
0.434,0.232,-0.181,-0.664,,,
0.467,0.215,-0.196,-0.738,,,
0.501,0.202,-0.204,-0.792,,,
0.534,0.198,-0.209,-0.813,,,
0.567,0.195,-0.207,-0.813,,,
0.601,0.203,-0.202,-0.784,,,
0.634,0.216,-0.192,-0.728,,,
0.667,0.230,-0.177,-0.657,,,
0.701,0.249,-0.155,-0.557,,,
0.734,0.268,-0.127,-0.441,,,
0.767,0.287,-9.137E-02,-0.308,,,
0.801,0.299,-4.889E-02,-0.162,,,
0.834,0.305,-5.522E-03,-1.81E-02,,,
0.868,0.302,4.276E-02,0.141,,,
0.901,0.297,8.475E-02,0.278,,,
0.934,0.284,0.125,0.414,,,
0.968,0.267,0.159,0.537,,,
1.001,0.249,0.186,0.641,,,
1.034,0.232,0.205,0.724,,,
1.068,0.219,0.218,0.784,,,
1.101,0.213,0.224,0.811,,,
1.134,0.214,0.224,0.809,,,
1.168,0.219,0.220,0.787,,,
1.201,0.232,0.208,0.731,,,
1.235,0.245,0.190,0.659,,,
1.268,0.265,0.164,0.552,,,
1.301,0.282,0.131,0.434,,,
1.335,0.301,8.863E-02,0.286,,,
1.368,0.308,4.187E-02,0.135,,,
1.401,0.311,-1.036E-02,-3.336E-02,,,
1.435,0.301,-5.131E-02,-0.169,,,
1.468,0.287,-9.848E-02,-0.331,,,
1.502,0.268,-0.130,-0.451,,,
1.535,0.247,-0.159,-0.573,,,
1.568,0.230,-0.180,-0.663,,,
1.602,0.212,-0.194,-0.739,,,
1.635,0.205,-0.201,-0.774,,,
1.668,0.200,-0.203,-0.792,,,
1.702,0.200,-0.203,-0.794,,,
1.735,0.208,-0.194,-0.748,,,
1.768,0.220,-0.183,-0.692,,,
1.802,0.237,-0.170,-0.623,,,
